product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
SaaS (General),Hero + Features + CTA,Trust blue + Orange CTA,Clean geometric,Glassmorphism cards hover lift,Cluttered hero with too many CTAs,HIGH
Fintech/Crypto,Conversion-Optimized,Deep purple + Amber accents,Modern sans-serif,Dark mode glassmorphism,Light backgrounds reduce trust,MEDIUM
Restaurant/Food,Menu-First Visual,Warm red + Gold accents,Friendly rounded,Food photography parallax,Stock photos instead of real food,HIGH
Healthcare App,Trust-First Minimal,Teal + Green CTA,Clean accessible,Subtle fade-ins no harsh motion,Red as primary color triggers anxiety,HIGH
E-commerce (Fashion),Product-Forward Editorial,Deep green + Orange CTA,Elegant editorial,Image zoom hover quick view,Too many competing CTAs,HIGH
Developer Tools,Documentation-Dense Dark,Purple + Green accents,Monospace headers sans body,Syntax highlight smooth scroll,Bright backgrounds reduce readability,MEDIUM
Education/E-learning,Progress-Driven,Blue + Yellow accents,Friendly legible,Progress bars micro-animations,Walls of text no visual breaks,HIGH
Real Estate,Property-Forward Clean,Teal + Orange CTA,Professional readable,Map integrations image carousels,Hiding pricing information,MEDIUM
Marketing/Agency,Bold Impact First,Pink + Purple gradient,Display headers bold,Scroll-triggered animations hover effects,Overuse of animations causes fatigue,MEDIUM
Legal/Professional,Authority Minimal,Navy + Gold accents,Serif authority sans body,Subtle hover states clean transitions,Informal fonts undermine credibility,HIGH
Non-profit/NGO,Story-Led Emotional,Green + Orange CTA,Humanist readable,Parallax hero impact counters,Ignoring accessibility contrast,HIGH
Gaming,Immersive Dark,Purple + Red CTA,Bold display headers,Particle effects glow hover states,Light mode feels out of place,LOW
Travel/Hospitality,Destination-Forward,Blue + Orange CTA,Clean aspirational,Full-bleed imagery parallax,Generic stock photography,HIGH
Fitness/Wellness,Energy-Driven Bold,Red + Green CTA,Bold condensed readable,Before-after sliders dynamic counters,Passive imagery kills energy,MEDIUM
Biotech/Science,Data-Dense Precise,Teal + Purple accents,Technical clean,Data visualizations animated charts,Oversimplification loses credibility,MEDIUM
Architecture/Design,Portfolio-First Minimal,Charcoal + Gold,Editorial serif,Large imagery smooth scroll,Cluttered layouts distract from work,HIGH
Luxury/Premium,Whitespace-Led Editorial,Black + Gold,Elegant serif,Slow reveal animations cinematic scroll,Bright colors cheapen perception,HIGH
