pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero > Features > Social Proof > Pricing > Final CTA,Above fold + after pricing,Primary color hero accent CTA on white,Fade-in on scroll card hover lift,Keep hero headline under 8 words. Show the product not a tagline.
Before-After Transformation,Hook > Problem > Solution > Proof > Offer,After proof section,Neutral problem section vivid solution section,Split reveal scroll animations counters,Lead with the pain not the solution. Proof must be specific with numbers.
Product Demo First,Hero with embedded demo > Features > Testimonials > CTA,Sticky floating CTA,Dark background makes demo pop,Auto-play muted video interactive prototype embed,Interactive demos convert 3x better than static screenshots.
Social Proof Heavy,Hero > Logos > Testimonials > Features > CTA,Above fold + after testimonials,Trust blue throughout neutral testimonial cards,Fade-in testimonials logo grid animation,3-5 testimonials with photos and titles outperform quotes alone.
Problem-Agitate-Solve,Problem statement > Agitation > Solution > Features > CTA,After solution reveal,Dark red/orange problem section green solution section,Parallax problem imagery clean solution entrance,Name the specific pain in the first sentence.
Comparison/Versus,Hero > Competitor comparison table > Why us > CTA,After comparison table,Neutral competitor columns vivid your-brand column,Animated table reveal highlight row,Never name competitors directly. Use generic labels like "Traditional tools".
Story-Led Narrative,Founder story > Mission > Product > Proof > CTA,After story section,Warm editorial tones,Scroll-triggered story panels parallax,Personal founder stories increase trust for B2C and SMB audiences.
Free Tool + Upgrade,Free tool > Results > Upgrade prompt > Features > Pricing,Inside tool results,Neutral free tier vivid premium tier,Tool interaction animations smooth upgrade modal,The free tool must deliver real value. Gate enhancements not core value.
Event/Launch Countdown,Announcement > Countdown > Features > Early access CTA,Above fold countdown,Dark urgent palette with accent countdown,Animated countdown real-time updates,Urgency only works if the deadline is real. False urgency destroys trust.
Portfolio/Case Studies,Hero > Selected work > Process > Client logos > Contact,After case studies,Minimal neutral let work provide color,Image hover zoom smooth project transitions,Show results not just aesthetics. Revenue lifted conversion rate improved etc.
