category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Use sticky navigation so users always have a way out,Sticky nav with backdrop blur,"position: sticky; top: 0; backdrop-filter: blur(12px); z-index: 50;",Fixed nav that scrolls away leaving users stranded,"position: relative;",HIGH
Navigation,Highlight the active page in the nav,Active link with distinct color or underline,"nav a.active { color: var(--accent); border-bottom: 2px solid currentColor; }",All nav links look identical with no active state,"nav a { color: inherit; }",MEDIUM
Animation,Respect reduced motion preferences,Check prefers-reduced-motion before animating,"@media (prefers-reduced-motion: reduce) { * { animation: none !important; transition: none !important; } }",Apply animations to all users regardless of accessibility needs,No media query check,HIGH
Animation,Keep transitions under 300ms for interactive elements,Fast snappy hover transitions,"transition: all 150ms ease-out;",Slow transitions that make UI feel sluggish,"transition: all 800ms ease;",MEDIUM
Forms,Always use visible labels — never placeholder-only,Label above or beside input persists while typing,"<label for='email'>Email</label><input id='email' placeholder='you@example.com'>",Placeholder as the only label (disappears on focus),"<input placeholder='Email'>",HIGH
Forms,Show inline validation immediately after field blur,Inline error message below the field in red,"<span class='error' role='alert'>Please enter a valid email</span>",Showing all errors only after full form submit,Show errors on submit only,MEDIUM
Accessibility,Maintain WCAG AA contrast ratio minimum 4.5:1 for body text,High contrast text on background,"color: #1e293b; background: #f8fafc; /* ratio 15:1 */",Low contrast grey on grey fails readability,"color: #9ca3af; background: #f3f4f6; /* ratio 2.5:1 */",HIGH
Accessibility,All interactive elements must be keyboard focusable,Visible focus ring on all buttons and links,":focus-visible { outline: 2px solid var(--accent); outline-offset: 2px; }",Removing default focus styles without replacement,"*:focus { outline: none; }",HIGH
Performance,Lazy load images below the fold,Use loading='lazy' on non-hero images,"<img src='photo.jpg' loading='lazy' alt='Description'>",Eager loading all images including off-screen ones,"<img src='photo.jpg'>",MEDIUM
Performance,Use next-gen image formats (WebP/AVIF),Serve WebP with JPEG fallback,"<picture><source srcset='img.webp' type='image/webp'><img src='img.jpg'></picture>",Serving unoptimized PNGs and JPEGs at full resolution,Large uncompressed image files,MEDIUM
Typography,Set a comfortable line length for body text,Constrain paragraph width to 60-75 characters,"max-width: 65ch;",Full-width text lines that exhaust readers' eyes,"width: 100%;",MEDIUM
Typography,Use a modular type scale,Consistent scale ratio between heading levels,"font-size: clamp(1rem, 2.5vw, 1.25rem);",Arbitrary random font sizes with no system,Random px values per element,LOW
Scroll,Smooth scroll for anchor links,CSS smooth scroll on the root,"html { scroll-behavior: smooth; }",Jarring instant jump to anchor sections,No scroll-behavior set,LOW
Scroll,Add scroll padding for sticky nav offset,Offset scroll targets by nav height,"html { scroll-padding-top: 80px; }",Anchor targets hidden behind fixed navigation,No scroll-padding,MEDIUM
CTA,Use only one primary CTA per view,Single high-contrast button as primary action,"<button class='btn-primary'>Get Started</button>",Multiple equally weighted CTA buttons competing,Two identically styled primary buttons,HIGH
CTA,Primary CTA must have strong contrast against its background,CTA button passes 4.5:1 contrast against page background,"background: #f97316; color: #fff; /* high contrast */",CTA blends into the background and goes unnoticed,Low contrast CTA,HIGH
