name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Bold Editorial,Display + Sans,Bebas Neue,Source Sans 3,bold impactful dramatic,agencies portfolios fashion,https://fonts.google.com/share?selection.family=Bebas+Neue|Source+Sans+3
Minimal Clean,Sans + Sans,Outfit,Nunito,clean minimal approachable,apps dashboards e-commerce,https://fonts.google.com/share?selection.family=Outfit|Nunito
Academic Authority,Serif + Serif,Merriweather,Lora,scholarly trustworthy formal,education research legal publishing,https://fonts.google.com/share?selection.family=Merriweather|Lora
Friendly Modern,Rounded + Sans,Nunito,Open Sans,warm friendly approachable,health wellness community apps,https://fonts.google.com/share?selection.family=Nunito|Open+Sans
Dark Futuristic,Display + Mono,Orbitron,Share Tech Mono,futuristic sci-fi technical,gaming fintech crypto,https://fonts.google.com/share?selection.family=Orbitron|Share+Tech+Mono
Humanist Warm,Sans + Serif,Raleway,Lora,warm humanist approachable,non-profit coaching consulting,https://fonts.google.com/share?selection.family=Raleway|Lora
Corporate Clean,Sans + Sans,Plus Jakarta Sans,Inter,professional clean trustworthy,enterprise B2B finance legal,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans|Inter
Creative Bold,Display + Sans,Clash Display,Satoshi,creative bold expressive,agencies branding design studios,https://fonts.google.com/share?selection.family=Syne|DM+Sans
Nature Organic,Serif + Sans,Cormorant Garamond,Jost,natural organic earthy,wellness food eco brands,https://fonts.google.com/share?selection.family=Cormorant+Garamond|Jost
